,List of Agents,Host of Range of Agent,id
50,Agrobacterium tumefaciens,"many plants (e.g. Arabidopsis, tobacco, tomato, rice, cowpea)",20190020
51,Cucurbit yellow stunting disorder virus (CYSDV),"Natural hosts: Cucumber, melon, squash, watermelon Experimental/lab host: Nicotiana benthamiana",20190007
52,Agrobacterium tumefaciens,dicotyledonous plant species,20170019
53,Agrobacterium tumefaciens,most dicotyledonous plants,20190037
54,Agrobacterium tumefaciens,"Arabidopsis, Citrus, Tomato, Tobacco, Rice.",20170037
55,,"Canola, Potato",20170037
56,,Leafy Spurge,20170037
57,Brome mosaic virus,Barley and Chenapodium quinoa,20180002
58,,NICOTIANA BENTHAMIANA,20180002
59,Cucumber mosaic virus and its satellite RNA and Satellite tobacco mosaic virus,Nicotiana benthamiana,20180002
60,"Agrobacterium tumefaciens. Strains include GV3101, EHA101 and C5C81. These are standard, disarmed, lab strains that have no potential to produce crown gall disease.",plants,20170012
61,Macrophomina phaseolina,"numerous plant hosts, work focused on grain legumes",20180001
62,Fusarium oxysporum (cotton and cowpea formae speciales),"cotton, cowpea",20180001
63,Cucumber mosaic Virus,more than 100 host plants,20180001
64,Apple latent spherical virus,more than 20 host plants,20180001
65,"Meloidogyne incognita, M. javanica, M. hapla, M. arenaria, M. hispanica","more than 2000 host plants (work focused on grain legumes, cotton, carrot)",20180001
66,Bean pod mottle virus,"pea, soybean, bean, cowpea",20180001
67,Nacobbus aberrans,more than 100 host plants,20180001
68,Citrus tristeza virus,Citrus and closely related genera,2018005401
69,Candidatus Liberibacter psyllaurous (also called solanacearum),"potato, tomato, pepper, related species; Arabidopsis",2018005401
70,Spiroplasm citri,"Citrus, other Aurantioidae, periwinkle, many Brassica, other species, several species of leafhopper.",2018005401
71,Xylella fastidiosa,"grape, almond, oleander",2018001901
72,Pantoea stewartii subsp. stewartii,"sweet corn, maize",2018001901
73,Spiroplasma citri,citrus,2018001901
74,Pseudomonas fluorescens,"broad host range including many plant species, but this is not a pathogen",2018001901
75,Bradyrhizobium japonicum - These are symbiotic bacteria that enhance host growth (they are not harmful).,,20190043
76,Agrobacterium tumefaciens,broad,20170009
77,"All graft transmissible pathogens of citrus. Including viruses, viroids, spiroplasmas, phytoplasmas, bacteria, and fungi.",Citrus,20190008
78,"All Plant pathogens (viruses, viroids, sprioplasmas, phytoplasmas, bacteria and fungi along with microbiome associated with plant hosts","Citrus, Avocado, cactus, Gourd and other plants",20190008
79,Bemisia tabaci B (aka. B. tabaci biotype B; B. argentifolii; Middle East Asia Minor 1),Hundreds of host plants.,20170018
