,General features of the DNA,Species from which DNA originated,"Species to receive DNA, type of vector, and transformation method",id
20,1) overexpression contructs will be generated and expression driven by promoters active in microglial cells such as IBA-1 and by promoters not regulated by cell activation state (U6 and CMV) 2) knoc,,"rodent cell lines including murine macrophage cell lines (BV-2, N9, RAW, primary murine mouse cells and HEK cells",2016004601
21,My lab has identified molecules preferentially expressed in murine microglia (brain macrophages) and/or hematogenously-derived macrophages. Although we have identified ITIM and ITAM signaling motifs i,mouse,"recipient: mouse cells transfection methods: electroporation, chemical of cells with plasmid vectors and polybrene mediated infection with packaged replication incompetent lentiviral vectors.",2016004601
22,Over-expression or knock-down of molecules expressed by neurons and glia to manipulate interactions between neurons and glia.,rodent and human,"primary mouse cells, murine cell lines and HEK as well as whole mice",2016004601
23,Genes encoding plant proteins.,Arabidopsis,"E. coli, pET or pBluescript vectors, transformed by electroporation",20190012
24,Genes,Arabidopsis,"Yeast, yeast 2-hybrid vectors, transformed by yeast transformation protocol",20190012
25,Genes involved in light signaling,Arabidopsis,"Agrobacteria, Ti plasmid based vectors, transformed by electroporation",20190012
26,"Genes tagged by HA, FLAG, 6xHIS, and/or xFP.",Arabidopsis,"Arabidopsis, Ti plasmid based vectors, agrobacteria-mediated transformation",20190012
27,DNA encoding proteins DNA encoding microRNAs or small interfering RNAs,Arabidopsis thaliana,Arabidopsis thaliana; Agrobacterium mediated transfer to T-DNA based plasmids,20190039
28,"DNA from bacteria or phages, which is commonly used in plasmids","bacteria, phages","plants such as Arabidopsis, rice, and soybean",20190039
29,DNA encoding cis-elements used in RNA metabolism such as hammerhead ribozymes and MS2 binding sites,"bacteria, phages","plants such as Arabidopsis, rice, and soybean",20190039
30,"Fluorescent proteins (e,g, GFP, mCherry)",Jelly fish,E. coli,2017004601
31,"Photosensitive opsins (e,g, channelrhodopsin, archaerhodopsin)",Green algae,E. coli,2017004601
32,"Recombinases (e,g, cre)",P1 Bacteriophage,E. coli,2017004601
33,Gene promoters,"Mice, rats",E coli,2017004601
34,Antibiotic resistance selection marker to amplify plasmid in E. coli,E. coli,E. coli,2017004601
35,"Mutant G-protein coupled receptors (Designer Receptors Exclusively Activated by Designer Drugs, DREADD)","Human, rats, mice",E.coli,2017004601
36,Barley and cowpea genome fragments in living collections within E. coli called bacterial artifical chromosome (BAC)libraries. Fragments contain genes encoding transcription factors and other proteins,"Hordeum vulgare (barley), Vigna unguiculata (cowpea), Escherichia coli (a bacterium)","Vigna unguiculata, particle gun bombardment of immature pods and sepals followed by transient expression and examination of bombarded tissue using a microscope(no production of transgenic plants).",20180015
37,Recombinant DNA expresses cell proteins that have a role in gene transcription and hormone synthesis and secretion,Mus musculus (mouse cDNA for proteins of interest) Homo Sapiens (cDNA for human proteins of interest),"Cultured mus musculus cells (primary and cell lines), cultured monkey cells (CV-1 and Coss-1) and cultured human cells (KGN)",20180050
38,signalling molecules; gonadotropin genes; transcription factors; receptors and ligands; channels; enzymes; microRNAs,"human, mouse, jelly fish, firefly","primary mouse cells from mice in our colony and mouse cell lines (LbT2, aT3, GT-1) developed in UCSD, propagated in our laboratory; transient transfection using lipids",20180050
39,"protein expression; non-toxic endogenous proteins from Arabidopsis are expressed in bother Arabidopsis and E. coli, usually as fusions to carrier protein such as GST, GFP etc.",Arabidopsis thaliana,E. coli (K12; DH5alpha); Arabidopsis thaliana,20190041
40,"protein expression; non-toxic endogenous proteins from Arabidopsis, Soy, Corn and Rice are expressed in both Arabidopsis, Tobacco and E. coli, usually as fusions to carrier protein such as GST, GFP et","Corn, Soy, Rice, Canola, Tomato, Arabidopsis, Barley","Corn, Soy, Rice, Canola, Tomato, Arabidopsis, Barley",20190041
41,"The selectable markers used for construction of transgenic plants are glufosinate, kanamycin and hygromycin resistances genes.",Bacteria,"Corn, Soy, Rice, Canola, Tomato, Arabidopsis, Barley",20190041
42,"Protein expression; Yeast-two hybrid; non-toxic endogenous proteins from Arabidopsis, Soy, Corn and Rice etc. in yeast as fusions to carrier protein such as GST, GFP, GAL4 etc. for biological tests","Arabidopsis, Corn, Soy, Canola, Tomato, Physcomitrella patens (moss), Barley",S. cerevisiae (bakers yeast),20190041
43,"Protein expression; Yeast-two hybrid; non-toxic endogenous proteins from Arabidopsis, Soy, Corn and Rice are expressed in Arabidopsis, Tobacco and E. coli, usually as fusions to carrier protein such a","Arabidopsis, Corn, Soy, Canola, Tomato, Physcomitrella patens (moss), Barley, Lolium perenne (ryegrass)","Arabidopsis, Physcomitrella patens (moss), tobacco, Lolium perenne (ryegrass)",20190041
44,"The selectable markers used for construction of transgenic plants are glufosinate, kanamycin and hygromycin resistances genes.",Bacteria,Turf grass (Lolium),20190041
45,ABA receptors,"Arabidopsis, maize, tomato, rice, soybean",Agrobacterium rhizogenes,20190041
46,Estrogen-receptor-CRE recombinase fusion proteins. Used for inducible Cre/LoxP-mediated gene excision.,Chimeric protein with human / bacteriophage origins,"Agrobacterium rhizogenes, Arabidopsis, maize, soybean, rice, tomato",20190041
47,"Mutated plant hormone receptor modules derived from PYR1, HAB1; GID1, GAI",Plant,Saccharomyces cerevisiae (baskers yeast); Setaria viridis (foxtail millet),20190041
48,Flowering locus T (florigen),Plant,"Arabidopsis thaliana, Nicotiana benthamiana, Citrus sp., Cannabis sativa (hemp), Setaria viridis (foxtail millet), Lycopersicum esculentum (tomato).",20190041
49,Constans (flowering time gene),Plant,"Arabidopsis thaliana, Nicotiana benthamiana, Citrus sp., Cannabis sativa (hemp), Setaria viridis (foxtail millet), Lycopersicum esculentum (tomato).",20190041
50,RKD4 (regulator of embryogenesis),Plant,"Arabidopsis thaliana, Nicotiana benthamiana, Citrus sp., Cannabis sativa (hemp), Setaria viridis (foxtail millet), Lycopersicum esculentum (tomato).",20190041
51,CAS9,Bacterial (S. pyogenes),"Arabidopsis thaliana, Nicotiana benthamiana, Citrus sp., Cannabis sativa (hemp), Setaria viridis (foxtail millet), Lycopersicum esculentum (tomato).",20190041
52,"Promoters of and protein-coding regions of taste receptor genes and genes interacting with them, genes regulated by neuronal activity, genes in pathways responding to or regulating feeding, indicator","Various Drosophila species; mosquitoes Aedes aegypti, Anopheles gambiae, Culex quinquefasciatus; agricultural pest insects; nuisance pest insects; jellyfish; vertebrates mouse, rat, human","D. melanogaster, A. aegypti, M. domestica, E. coli (P-element transformation, phiC31 mediated transformation, CRISPR/Cas9 mediated genome editing); A. gambiae, D. simulans, D. sechellia (CRISPR/Cas9 m",20180046
53,DNA encoding a protein subunit of Photosystem II is expressed in the native organism (Synechocystis 6803)under the control of its native promoter. DNA encoding the dorC gene of Rhodobacter sphaeroide,Synechocystis sp. PCC 6803 (a cyanobacterium) or Rhodobacter sphaeroides (a purple non-sulfur photosynthetic bacterium),"Genes are introduced into an E. coli plasmid and manipulated by standard methods, including site-directed mutagenesis to generate single amino acid substitutions. Native and mutation-bearing plasmids",20180013
54,An insect-specific fatty acid- and retinol-binding protein,Steinernema carpocapsae,Escherichia coli,20180023
55,An insect-specific protease,Steinernema carpocapsae,Escherichia coli,20180023
56,An insect-specific protease inhibitor,Steinernema carpocapsae,Escherichia coli,20180023
57,An insect-specific fatty acid- and retinol-binding protein,Steinernema carpocapsae,Drosophila melanogaster,20180023
58,The DNA encodes individual viral genes,"cucumber mosaic virus, citrus tristeza virus, tomato aspermy virus, tobacco mosaic virus, tomato bushy stunt virus, turnip yellow mosaic virus","E.coli or Agrobacterium tumefaciens using either bacteria-specific vectors such as pUC series or binary vector that can direct gene expression in plants; tobacco, Nicotiana benthamiana, arabidopsis th",20190017
59,Cas9 nuclease gene,Streptococcus pyogenes,Nicotiana benthamiana; Arabidopsis thaliana,20190017
60,"Infectious full-length cDNA clones of Coxsackievirus B3 (CVB3) isolates Nancy and H3, and their mutants defective in RNAi suppression or expressing GFP.",Coxsackievirus B3 (CVB3).,Cultured HeLa cells and mouse,20190017
61,Infectious full-length cDNA clones of Flock House virus or its mutants with the B2 gene either deleted or replaced with GFP.,Flock House virus,Fruit flies (Drosophila melanogaster) and nematodes (Caenorhabditis elegans),20190017
62,Infectious full-length cDNA clones of Nodamura virus or its mutants with the B2 gene either deleted or replaced with GFP or a short segment of cellular genes,Nodamura virus,Cultured Drosophila and mammalian cell lines and mice (Mus musculus); Infection or transformation of cultured cells by calcium phosphate or lipid transfectin; Infection of mice by intraperitoneal injection,20190017
63,Infectious full-length cDNA clones of influenza A virus vaccine strains,Influenza A virus strains WSN/33 (H1N1) and PR/8/34 (H1N1),"Cultured hamster (BHK), monkey (Vero) and human (HeLa, 293, U4a, Huh7) cells. Infection or transformation of cells by calcium phosphate or lipid transfection.",20190017
64,Infectious full-length cDNA clones of Dengue virus serotype 2 and 4,Dengue viruses,"Cultured hamster (BHK), monkey (Vero) and human (HeLa and 293) cells via infection, transformation of cells by calcium phosphate or lipid transfection, or interferon-defective mouse strains via intraperitoneal injection",20190017
65,Infectious full-length cDNA clones of Vesicular stomatitis virus expressing GFP,Vesicular stomatitis virus,Cultured hamster cells (BHK-21) and mouse,20190017
66,The DNA encodes individual host or viral proteins that regulate or suppress the RNA silencing defense in cultured cells or animals,"Nodaviruses (Flock house and nodamura viruses), Influenza A/B/C viruses, Ebola virus and West Nile virus; Fruit flies (Drosophila melanogaster), or mice","Cultured fruit fly, mosquito, hamster (BHK) and human (HeLa, 293, Huh7) cells. Transformation by calcium phosphate or lipid transfection",20190017
67,Satellite DNA that does not encode a functional product.,"human, mouse or rat","E. coli, plasmid, transformation using commercially available competent cells such as TOP10 cells from Invitrogen",20170015
68,Chromosome painting probes that label DNA that is specific for individual human chromosomes,"Human, mouse or rat","E. coli, plasmid typically obtained from a repository or similar source.",20170015
69,Transposase protein will be expressed in yesat (Saccharomyces cerevisiae) using a galactose inducible promoter.,"Oryza sative (cultivate rice), Zea mays (maize, corn), Citrus","Standard Saccharomyces cerevisiae (lab yeast) strains using chemical transformation, E. coli strain DH5alpha using chemical transformation. Plasmids will be standard yeast shuttle vectors.",20190040
70,Non-coding DNA will be cloned to determine if it is the target of cloned transposases.,"Oryza sativa (cultivate rice), Zea mays (maize, corn) , Citrus","Standard yeast strains, chemical transformation of yeast with yeast shuttle vectors. Chemical transformation of bacterial strain DH5aplha with shuttle vectors. Rice, arabidopsis, citrus and corn, usin",20190040
71,Non-coding DNA will be cloned to determine if it is the target of transposases.,"Oryza sativa (cultivated rice), Agrobacterium tumefaciens, Aequorea victoria (jellyfish), Citrus","Arabidopsis thaliana was transformed with the Rice DNA in GFP from jellyfish cloned into the the T-DNA of Agrobacterium. Rice, arabidopsis, citrus and corn, using agrobacterium mediated transformation",20190040
72,Non-coding DNA from transposable elements under no promoter.,"Oryza Sativa Zea Mays Aedes aegypti Culex quinquefasciatus Anopheles gambiae, Citrus","Arabidopsis thaliana was transformed with the Rice DNA in GFP from jellyfish cloned into the the T-DNA of Agrobacterium. Rice, arabidopsis, citrus and corn, using agrobacterium mediated transformation",20190040
73,Transposase protein expressed behind a constitutive promoter,"Oryza Sativa, Zea Mays, Aedes aegypti, Culex quinquefasciatus, Anopheles gambiae, Citrus","Arabidopsis thaliana was transformed with the Rice DNA in GFP from jellyfish cloned into the the T-DNA of Agrobacterium. Rice, arabidopsis, citrus and corn, using agrobacterium mediated transformation",20190040
74,Transposase protein is expressed in transgenic Arabidopsis thaliana using the ubiquitous 35S CMV promoter.,"Oryza sativa (cultivate rice), Arabidopsis thaliana, cauliflower mosaic virus, Agrobacterium tumefaciens, Citrus","Arabidopsis thaliana was transformed with the Rice DNA in GFP from jellyfish cloned into the the T-DNA of Agrobacterium. Rice, arabidopsis, citrus and corn, using agrobacterium mediated transformation",20190040
75,Genes encoding proteins found in plants studied by UCR professors (Riverside campus only) will be cloned in E. coli and Agrobacterium to study their function. The promoter elements will be cloned as w,"The species will be ones studied by UCR professors with their own approved BUAs. Examples would be Oryza sativa, Zea mays, Citrus spp., Arabidopsis thanilana, etc.","E. coli strains such as DH5alpha and HB101, Agrobacterium, Tobacco spp., Citrus cell culture, Arabidopsis thaliana.",20190040
76,"Genes include heterotrimeric G protein signaling components, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogen activated proteins kinases and transcription factors.",Neurospora crassa and Aspergillus nidulans (trpC and gpdA promoters only).,Neurospora crassa will receive DNA. Integrating vectors will be used. Electroporation is the transformation method.,20190040
77,"Genes include heterotrimeric G protein signaling components, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogenactivated proteins kinases and transcription factors.",Neurospora crassa,Saccharomyces cerevisiae will receive DNA. Cen and two micron vectors will be used. Both lithium chloride mediated transformation and electroporation will be used to introduce the DNA into S. cerevis,20190040
78,"Genes include heterotrimeric G protein signaling components, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogenactivated proteins kinases and transcription factors. Se",Neurospora crassa,Escherichia coli is recipient. Multicopy vectors such as pBluescript II and yeast two micron and cen vectors will be used. Transformation (using chemically-treated cells) and electroporation will be u,20190040
79,acety- and acyl transferases expressed from IPTG inducible promoters,"Saccharomyces cerevisiae, Kluyveromyces marxianus, Pichia anomala, Kluyveromuces lactis, Cucumis melo, Solanum lycopersicum, Fragaria × ananassa",E. coli BL21 (DE3) ATCC 87064,20170007
80,"phosphotriesterases, phosphodiesterases, organophosphate hydrolyses, laccase expressed from IPTG inducible promoters","Enterobacter aerogenes, Delfia acidovorans, E. coli, Strepotomyces coelicolor",E. coli BL21 (DE3) ATCC 87064,20170007
81,alcohol and aldehyde oxidases and NAD(P)(H) dehydrogenases expressed with IPTG inducible promoters,"E. coli, Saccharomyces cerevisiae, Pyrococcus furiosus, Gluconobacter species",E. coli BL21 (DE3) ATCC 87064,20170007
82,dehydrogenases; acetyl- and acyl transferases; methyl transferases,"Human, E. coli, Yeasts (S. cerevisiae, P. anomala, K. lactis, K. marxianus), tomato, strawberry, melo, olive, Acetinobacter species","E..coli (DH5 alphae, BL21 DE3), S. cerevisiae W303 and BY4742, K. marxianus DSM 5422",20190011
83,"dehydrogenases; P450 mono-oxygenase, oxidoreductases","Y. lypolytica, S. cerevisiae",Yarrowia lypolytica,20190011
84,cellulases; endocellulase; exocellulase; glucosidase,fungi and clostridia,K. marixanus,20190011
85,phenazine biosynthesis enzymes,Pseudomonas chlororaphis and other Pseudomonads,"P. choloraphis, E. coli, S. cerevisiae",20190011
86,"parasites that express OVA protein or fluorescent markers (RFP), or luciferase under the tubulin promoter or parasite stage specific promoters e.g. Bag1 for bradyzoites. parasites that express the D",firefly (luciferase),Toxoplasma gondii parasites express the protein and mice or cells will be infected with these parasites.,20170033
87,"parasites that express OVA protein or fluorescent markers (RFP), or luciferase under the tubulin promoter or parasite stage specific promoters e.g. Bag1 for bradyzoites. parasites that express the D",firefly (luciferase),Toxoplasma gondii parasites express the protein and mice or cells will be infected with these parasites.,20190018
88,"Some DNA plasmids encode RNA binding proteins PTBP1, PTBP2 and UPF2. Some transcribe the haripin RNAs that target Ptbp1, Ptbp2 and Upf2.",mouse,"For mouse embryonic brain, we use electroporation. For E.coli, we use heat shock or electroporatio",20190042
89,Genes involved in development,mouse,"We use lipofetamine, heat shock, and electroporation to deliver the plasmids into the cells.",20190042
90,"fluorescent proteins (YFP, GFP, RFP or other) under the control of genes involved in apoptosis (i.e. p21, caspase-3); fluorescent proteins (YFP, GFP, RFP) under the control of tissue specific promotor","mus musculus, homo sapiens","human embryonic stem cells lines asn human induced pluripotent stem cell lines as specified under tab 'human stem cells' mouse embryonic stem cells, D3 line, ATCC CRL-1934 Chemical transfection, nucle",20190005
91,genes involved in lineage differentiation,"mouse, human","human cell lines, mouse; transformation method: transfection, lentiviral infection",20190005
92,genes involved in endocrine control of development and behavior; fluorescent markers; non-coding RNAs,Drosophila melanogaster; Aedes aegypti; jellyfish,Drosophila melanogaster; Aedes aegypti; culture cells and whole insects; E. coli,2017002301
93,"Genes encoding Arabidopsis ROP GTPases and their associated proteins (including RopGAPs, RICs and other novel proteins being studied). These proteins will be normally expressed in E. coli as fusio",Arabidopsis thaliana,"Arabidopsis thaliana Vectors, pBI101, pBI121, pBI221, pUC19, pCAMBIA series Transformation methods, electroporation, Agrobaterium mediated transformation (floral dipping), bolistic transformation",20180051
94,ROP GTPase and ROP interacting proteins being expressed behind the 35S promoter and DEX- and alcohol-inducible vectors,Arabidopsis thaliana,"Arabidopsis thaliana, E. coli, Sacchomyces cerevisiae, Tobaci nicotiana, various E. coli cloning and protein expression vectors, yeast two hybrid vectors, plant binary vectors",20180051
95,"Genes encoding Arabidopsis ROP GTPases and their associated proteins (including RopGAPs, RLKs, ABP, TMK and other novel proteins being studied). These proteins will be normally expressed in E. coli as",Arabidopsis thaliana,"Arabidopsis thaliana Vectors, pGWB601, pGWB640, pGWB641, pGWB642, pGWB644, pGWB645, Transformation methods, electroporation, Agrobaterium mediated transformation (floral dipping), bolistic transformat",20180051
96,"express fluorescent protein markers, e.g. GCAMP",jellyfish,"mouse, virus-based infection",20190032
97,"express light-gated ion channels, e.g. channelrhodopsin-2",green algae,"mouse, virus-based infection",20190032
98,"DNA encoding mouse signaling proteins, such as Eph receptors, ephrins (cell adhesion and repulsion); focal adhesion kinase and integrins (cell migration); Rho GTPases, LIMK, PAK, cofilin (actin modify",E-coli (bacteria),"Primary mouse hippocampal and cortical cultures, human kidney 293 cells (CRL-1573), 3T3 mouse cells (CCL-92); rat PC-12 cells (CRL-1721)",2017004102
99,"1.) promoters of defense genes will be translationally fused to standard reporter genes (e.g. beta glucuronidase (GUS), green fuorescent protein (GFP) or luciferase (LUC); binary vectors that contain",Arabidopsis thaliana (a higher plant),"Arabidopsis thaliana will be transformed using standard Arbobacterium based protocols with rDNA tyoe 1.) (see above), yeast (Saccharomyces cerevisiae) will be transformed using the standard lithium ac",20180020
100,"1.) promoters of defense genes will be translationally fused to standard reporter genes (e.g. beta glucuronidase (GUS), green fuorescent protein (GFP) or luciferase (LUC); binary vectors. 2) The Arab",Arabidopsis thaliana,"Arabidopsis thaliana, Saccharomyces cerevisiae, Nicotiana benthamiana;",20180020
101,"3.) coding sequences of potential plant defense genes, some of these sequences may be fused to standard reporter genes and epitope tags.","Arabidopsis thaliana, yelly fish, firefly, Escherichia coli.","Arabidopsis thaliana and Nicotiana benthamiana will be transformed using standard Arbobacterium based protocols, yeast (Saccharomyces cerevisiae) will be transformed using the standard lithium acetate",20180020
102,plasmid DNA,,,20180017
103,"genes involved in DNA repair, genes involved in bacteria and citrus interactions (not handling pathogen directly, work with single genes).","human, xanthomonus bacteria, thermophilic archaea","E. coli, yeast, insect cells; transformation methods: chemical, heat shock, electroporesis",20180017
104,Cry11A protein being synthesized using cytIA promoters linked to a ribosome stabilizing sequence in the plasmid pcyt1A/STAB.,"Bacillus thuringiensis, an insecticidal bacterium","Bacillus sphaericus, and insecticidal bacterium, pcyt1A/STAB, with transformation by electroporation.",20170020
105,"Bacterial research: The DNA codes for various insecticidal proteins produced by Bacillus thuringiensis and B. sphaericus. Typical genes include those encoding Cyt1A, Cry11A, Cry11B, Cry4A, Cry4B, and","The DNA typically originates from either B. thuringiensis or B. sphaericus. For the viral studies, the DNA originates from various baculoviruses or ascoviruses.","We use a wide variety of cloning and expression vectors in our research. Many of these we design and construct ourselves for specific purposes. For example, our pStab series of shuttle vectors are des",20170020
106,Marker proteins such as the jellyfish green fluorescent protein (GFP) and other similar proteins,Jellyfish,"Bacillus thuringiensis (ATTC10792, ATTC35646), Autographa californica baculovirus, the grown in insect cell lines derived from various caterpillar species.",20170020
107,"mRNA libraries (transcriptome) for transcripts derived from mosquitoes, insecticidal bacteria, and insecticidal fungi (Coelomomyces).","The mosquito, Culex quinquefasciatus, the insecticidal bacterium, Bacillus thuringiensis subsp. israelensis, and the fungus, Coelomomyces lativittatus.",E. coli.,20170020
108,"Bacterial research: The DNA codes for various insecticidal proteins produced by Bacillus thuringiensis and Lysinibacillus sphaericus. Typical genes include those encoding Cyt1A, Cry11A, Cry11B, Cry4A,","The DNA typically originates from either B. thuringiensis or L. sphaericus. For the viral studies, the DNA originates from various baculoviruses or ascoviruses.","We use a wide variety of cloning and expression vectors in our research. Many of these we design and construct ourselves for specific purposes. For example, our pStab series of shuttle vectors are des",20170020
109,"mRNA from ascovirus genes expressed in vivo, i.e., in caterpillars, specifically, those of two species, the fall armyworm, Spodoptera frugiperda, and the cabbage looper, Trichoplusia ni.","Spodoptera frugiperda ascovirus (SfAV-1a), the type species for this type of virus, and Trichoplusia ni ascovirus (TnAV-2c). Viral DNA was expressed in vivo as described above.","Caterpillars were infected by dipping a minutin pin in a suspension of ascovirus virions and then ""stabbing"" the caterpillars by inserting the pin into their epidermis. No ATTC number for these source",20170020
110,AAV5-EF1a-DIO-eArch3.0-EYFP. The DNA encodes a transmembrane ion channel protein coupled to the enhanced yellow fluorescent protein in a viral construct with tropism toward astrocytes.,Human,"Mouse astrocytes in vivo and in brain slices (in situ), infection of replication deficient AAV delivered by stereotactic injection",20190034
111,AAV5-GFAP-hChR2(H134R)-EYFP. The DNA encodes a transmembrane ion channel protein coupled to the enhanced yellow fluorescent protein downstream of the astrocyte-specific GFAP promoter.,Human,"Mouse astrocytes in vivo and in brain slices (in situ), infection of replication deficient AAV delivered by stereotactic injection.",20190034
112,AAV5-EF1a-DIO-EYFP. The DNA encodes enhanced yellow fluorescent protein (EYFP) in a viral construct with tropism toward astrocytes. Serves as a control vector for AAV5-EF1a-DIO-eArch3.0-EYFP.,Human,"Mouse astrocytes in vivo and in brain slices (in situ), infection of replication deficient AAV delivered by stereotactic injection.",20190034
113,AAV5-EF1a-DIO-eNpHR3.0-EYFP. The DNA encodes a transmembrane chloride pump protein coupled to the enhanced yellow fluorescent protein in a viral construct with tropism toward astrocytes.,Human,"Mouse astrocytes in vivo and in brain slices (in situ), infection of replication deficient AAV delivered by stereotactic injection",20190034
