,Human NHP Cells in Animals,Infectious Agents in Animals,Infectious Agents in Animals Precautions,Shedding Infectious Agents,Shedding Time Length,Wild Caught Animals,Potential Zoonotic Disease,Potential Zoonotic Disease Precautions
10,False,True,"For influenza virus: Animal might bite the researcher. Proper PPE gloves will required to handle animals. Influenza virus is a respirotory pathogen. Researchers are required to wear protection mask to work on influenza virus. Researchers are required not to position any container, close to their noses. For Zika virus: ZIKV can be transmitted through the blood from needle stick injuries. All workers are required to use proper PPE when handling the virus and infected animals will be handled in biosafety cabinets. Zika can also be transmitted through mosquitoes, however the presence of mosquitoes in the vivarium BSL2 room is highly unlikely. Additionally, mice are housed in closed filter-top cages. Investigators, not animal staff, will handle the cages to reduce risk of exposure to mosquitoes. Virus related work will be conducted in the biosafety cabinet to prevent exposure to any potential mosquito. All needles exposed to the virus will be disposed in a biohazard sharp contain",False,,False,False,
11,False,True,"Transmission of V. cholerae is fecal-oral, so PPE and good lab hygiene practice when handling animals is required. Experiments with germ-free mice will be conducted in plastic isolators in the Psychology vivarium. These isolators are fully enclosed, with filtered positive-pressure air supplies and entry ports decontaminated with Clidox before and after every transit. After conclusion of experiments, mouse remains will need to be incinerated and bedding autoclaved prior to disposal. Isolators after use will be soaked in Clidox disinfectant, re-assembled, and autoclaved prior to re-use. Animal work outside of the V3 facility will be conducted in the secured rooms of the Hsiao lab in Webber Hall. This will involve suckling animals, which will be inoculated with bacterial mixtures and kept at 30C in an incubator for no more than 16hrs post infection. These animals will be inoculated and sacrificed, and dissected in a biosafety cabinet, and the remains stored frozen at -20C, until transf",True,Germ-free mice solely colonized by bacteria will stably maintain these organisms and transfer them to other germ-free mice only. Conventionally reared adult mice are not susceptible to V. cholerae infection. Suckling animals will shed V. cholerae during the course of the experiment (no more than 16hrs). Other bacterial strains to be used are not known to be infectious in healthy conventional animals.,False,True,"All mice used will have been reared in SPF or germ-free conditions, and so would not be expected to pose a zoonotic disease risk to humans. See above section for notes on disposal of mouse waste and decontamination of GF isolators."
12,False,True,Malaria infection are species specific and any rodent malaria will NOT be able to infect human. There is no potential environment or health hazard.,False,,False,False,
13,True,True,"Injections will be administered in V3. Live animals will be transported to Boyce lab in paper boxes provided by V3 and placed in secondary container. Animals will be sacrificed in Boyce lab according to approved IACUC protocol. Dead animals will be double-bagged in red autoclavable bags and placed in secondary container to be transferred back to V3 for storage and disposal. PPE will follow vivarium requirements. All cell culturing will be conducted in biosafety cabinet located in Boyce location. PPE in Boyce will be lab coat, safety glasses, and gloves.",False,,False,False,
14,False,True,"ABSL2 procedures will be followed for mice inoculated with Citrobacter. The infections will usually be as part of short term (~1 hour) terminal procedures, but in some cases short term (<2 weeks) infection will be used in the BSL2 vivarium facility. S. aureus infection will be subcutaneous infection of implanted catheter material, in ear pinnae. Subcutaneous infection should not expose agent to the environment unless there is a break in the skin.",True,2 weeks (Citrobacter),False,False,"In the event that the infected subcutaneous implant break through the skin, there may be exposure to environment, but conventional BSL2 cleaning (70% ethanol or 10% bleach) can be used to disinfect the exposed surfaces."
15,True,False,,False,,False,False,"Laboratory mice are bred to exclude all zoonotic agents. Therefore, unless the laboratory mice are exposed to wild mice (those coming from the natural habitat outside the laboratory), there is limited concern for disease from these research mice."
16,True,True,Bacteria collected from mouse wounds are isolated and applied to mouse wounds. Wounds are covered. BSL-2 handling will be sufficient to protect personnel.,False,,False,False,The carcassas will be brought to the collection point of the vivarium and placed in the freezer as directed by the office of the campus veterinarian. Photos of the wounds will be taken in the cabinet in the vivarium.
17,True,True,Infected mice carcasses will be placed in a red biohazard bag in the -20C storage space provided by the vivarium. Carcases will then be incinerated off campus as routinely arranged by the vivarium. Infected bedding will be sterilized before disposal.,True,"Cell lines: in their own culture media. Live mice: all bodily fluids (ie: urine, blood, feces)",False,False,
18,False,True,"For helminths and bacterial: transmission of these pathogens are through the oral-fecal route. The risk of spread of the infectious agent will be eliminated with appropriate cage cleaning, wiping the surfaces with bleach, disposing of the carcasses. Additionally, personnel will be required to wear PPE (gloves, lab coat, eye protection) For Influenza: Animal might bite the researcher. Proper PPE gloves will required to handle animals. Influenza virus is a respirotory pathogen. Researchers are required to wear protection mask to work on influenza virus. Researchers are required not to position any container, close to their noses. For Zika virus: Zika can be transmitted through the blood from needle stick injuries. All workers are required to use proper PPE when handling the virus and infected animals will be handled in biosafety cabinets. Zika can also be transmitted through mosquitoes, however the presence of mosquitoes in the vivarium BSL2 room is highly unlikely. Additionally,",True,"For helminth and bacterial infections: the infection is acute, but resolved, with maximal shedding in the feces around days 7-15. Zika and Influenza are not shed from mice.",False,False,
19,False,True,None - AAV is replication incompetent.,False,,False,False,
20,False,True,None - AAV is replication incompetent.,False,,True,True,Rabies. All personnel handling bats have rabies vaccination and annual antibody titers. Bats are contained in a special colony room which can be accessed only by personnel with rabies vaccination. Bats used in these experiments will be isolated in cages within the main colony room. Vivarium protocols will be followed for carcass disposal.
21,False,True,"Plasmodium gallenaceum is a avian malarial parasite specific to birds. Not infectious to humans. Anyway, all precautions will be used to work with infectious chicks. Infected chicks will be housed separately from non-infected chicks. At the end of experiment all infected chicks will be terminated by euthanasia, the carcasses will be frozen and properly disposed by authorized vivarium staff.",False,,False,False,
22,False,True,"The replication deficient viruses that we will use will only infect cells in the injected animals in a local manner. Any instrument or material that comes in contact with blood or virus will be disinfected with 10% bleach. All equipment used (including pipettes and pipette-aids) will be sprayed and/or soaked in 10% bleach solution (AAV) or 70%EtOH/1%SDS (lenti) solution after use to disinfect. After disinfection, all pipettes, pipette tips, tubes and tissue culture plates will be disposed in a red biohazard bag. All liquid waste will be aspirated into a flask containing bleach, inside a hood. Personnel will be protected by wearing gloves, coat and goggles. Animals will be transferred to a clean cage after 48 hours and bedding will be disposed in a biohazard red bag.",False,,False,False,
23,True,False,"Human cancer cells injected into mice are not infectious.The tumors we have observed arising from those cells are very well contained and there is no evidence of metastasis. The bacteria we are gavaging mice with are also non infectious. The bacteria we will use are those that we previously isolated from the mice in the vivarium (V3 in Psych or Spieth Hall). The bacteria will be shed into the feces, as are the endogenous bacteria. There are no health hazards and no special precautions needed.",False,see above,False,False,
