
"Protocol ID","PI Full Name","Building Name","Room Number","Agent List","Highest Biosafety Level"
"IBC0599(0)","Kossiakoff, Anthony","Knapp Center for Biomedical Discovery (KCBD)","3230/3240 A/A,C,D","No Data, No Data, No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, Bacteriophage, Bacteriophage, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Murine Retrovirus - Ecotropic, Lentiviral vector Lentivirinae, Murine Retrovirus - Amphotropic/Pantropic, Murine Retrovirus - Amphotropic/Pantropic, Baculovirus/Animal virus, Baculovirus/Animal virus, Murine Retrovirus - Ecotropic, Lentiviral vector Lentivirinae, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0607(0)","Grove, Elizabeth","No Data","No Data","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, Adeno-associated virus (AAV)","BSL2"
"IBC0610(0)","Schneewind, Olaf","Cummings Life Sciences Center (CLSC)","601, 625, 627","No Data, No Data, E. coli K12 or similar, Staphylococcus aureus, Other, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2"
"IBC0632(0)","Weichselbaum, Ralph","Knapp Center for Biomedical Discovery (KCBD)","6160, 6211, 6212, 6220","No Data, No Data, Adenovirus- replication deficient","BSL2"
"IBC0635(0)","Solway, Julian","Albert Merrit Billings Hospital (AMB)","M610, M651, M653","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data, No Data, No Data","BSL2BSL3"
"IBC0646(0)","Rosner, Marsha","Gordon Center for Integrative Science (GCIS)","W423A/B/C/W & W444A","No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Moloney Murine Leukemia Virus (MMLV)/Animal retrovirus-Amphotropic/Pantropic, Moloney Murine Leukemia Virus (MMLV)/Animal retrovirus-Amphotropic/Pantropic, Lentiviral vector Lentivirinae, Lentiviral vector Lentivirinae, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0648(0)","Clark, Marcus","Donnelley Biological Sciences Learning Center (DBSLC)","R302","No Data, No Data, E. coli K12 or similar, No Data, No Data, Mouse Stem Cell Virus (MSCV) - Ecotropic, No Data","BSL2"
"IBC0649(0)","He, Tong-Chuan","Surgery Brain Research Institute (SBRI)","611, 616, and 620","No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, Adenovirus- replication deficient, Adenovirus- replication deficient, No Data, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0653(0)","Roos, Raymond","Abbott Memorial Hall (AB)","616, 619","No Data, E. coli K12 or similar, Encephalomyocarditis Virus (EMCV), Theiler's Murine Encephalomyelitis Virus (TMEV), No Data, No Data, No Data","BSL2"
"IBC0672(0)","Bergelson, Joy","Erman Biology Center (EB)","004, 105, 107","E. coli K12 or similar, Pseudomonas viridiflava, Pseudomonas syringae, E. coli K12 or similar, Pseudomonas syringae, Xanthomonas campestris, Xanthomonas campestris, Pseudomonas viridiflava, Arabidopsis thaliana, Arabidopsis thaliana, No Data, No Data, No Data, No Data","BSL1"
"IBC0672(0)","Bergelson, Joy","Zoology Building (Z)","002, 005","E. coli K12 or similar, Pseudomonas viridiflava, Pseudomonas syringae, E. coli K12 or similar, Pseudomonas syringae, Xanthomonas campestris, Xanthomonas campestris, Pseudomonas viridiflava, Arabidopsis thaliana, Arabidopsis thaliana, No Data, No Data, No Data, No Data","BSL1"
"IBC0673(0)","Turkewitz, Aaron","Cummings Life Sciences Center (CLSC)","201","E. coli K12 or similar, Tetrahymena thermophila, No Data","BSL1"
"IBC0676(0)","Wickrema, Amittha","Knapp Center for Biomedical Discovery (KCBD)","7212, 7220A","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2BSL3"
"IBC0676(0)","Wickrema, Amittha","Knapp Center for Biomedical Discovery (KCBD)","7212, 7220A","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2BSL3"
"IBC0679(0)","Refetoff, Samuel","Albert Merrit Billings Hospital (AMB)","M369","No Data, E. coli K12 or similar, No Data, Adeno-associated virus (AAV)","BSL2"
"IBC0686(0)","Weichselbaum, Ralph","","","No Data, Herpes simplex virus","BSL2"
"IBC0690(0)","Roos, Raymond","Abbott Memorial Hall (AB)","616, 619","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, Adeno-associated virus (AAV)","BSL2"
"IBC0697(0)","Lebeau, Michelle","Knapp Center for Biomedical Discovery (KCBD)","7240, 7233","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Mouse Stem Cell Virus (MSCV) - Ecotropic, Lentiviral vector Lentivirinae, No Data, No Data, No Data","BSL2BSL3"
"IBC0698(0)","Macleod, Kay","Gordon Center for Integrative Science (GCIS)","W325O/R/S","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Mouse Stem Cell Virus (MSCV) - Ecotropic, No Data, No Data","BSL2BSL3"
"IBC0703(0)","Bishop, Douglas","Cummings Life Sciences Center (CLSC)","817, 819","No Data, E. coli K12 or similar, Saccharomyces cerevisiae, No Data","BSL2"
"IBC0704(0)","Glick, Benjamin","Cummings Life Sciences Center (CLSC)","201, 211","No Data, Pichia pastoris, E. coli K12 or similar, Saccharomyces cerevisiae, No Data","BSL2"
"IBC0709(0)","Schwartz, Nancy","Sylvain & Arma Wyler Children's Hospital (WCH)","C513, C518, C519, C520, C521, C578,  C587, C594,","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Murine Retrovirus - Ecotropic, Lentiviral vector Lentivirinae, Murine Retrovirus - Amphotropic/Pantropic, No Data, No Data, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0712(0)","Storb, Ursula","","","E. coli K12 or similar, No Data, No Data, No Data, No Data","BSL1"
"IBC0713(0)","Ragsdale, Clifton","","","E. coli K12 or similar, No Data, No Data, No Data","BSL1"
"IBC0714(0)","Grove, Elizabeth","Albert Merrit Billings Hospital (AMB)","220","E. coli K12 or similar, No Data, No Data","BSL1"
"IBC0717(0)","Imamoto, Akira","","","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Moloney Murine Leukemia Virus (MMLV)/Animal retrovirus-ecotropic, No Data, No Data","BSL2"
"IBC0722(0)","Popko, Brian","Abbott Memorial Hall (AB)","505","Pertussis Toxin, No Data, E. coli K12 or similar, No Data, No Data, No Data","BSL2"
"IBC0730(0)","Greene, Geoffrey","Gordon Center for Integrative Science (GCIS)","W309, W325D","E. coli K12 or similar, No Data, Baculovirus/Animal virus, No Data","BSL1"
"IBC0731(1)","Greene, Geoffrey","Gordon Center for Integrative Science (GCIS)","W309K, W325Y","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Murine Retrovirus - Amphotropic/Pantropic, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0735(0)","Du, Wei","Gordon Center for Integrative Science (GCIS)","W325","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2BSL3"
"IBC0742(0)","Bergelson, Joy","Erman Biology Center (EB)","105, 107","Agrobacterium tumafaciens, Pseudomonas syringae, Pseudomonas viridiflava, E. coli K12 or similar, Xanthomonas campestris, Arabidopsis thaliana, Draba verna, Cardamine hirsuta, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL1"
"IBC0747(0)","Bell, Graeme","","","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0748(0)","Chang, Eugene","Knapp Center for Biomedical Discovery (KCBD)","9212, 9230A, 9230D, 9251.","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Adenovirus- replication deficient, Lentiviral vector Lentivirinae, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0749(1)","Soliven, Betty","Surgery Brain Research Institute (SBRI)","J212","Pertussis Toxin, No Data, E. coli K12 or similar, No Data","BSL2"
"IBC0750(1)","Jabri, Bana","Knapp Center for Biomedical Discovery (KCBD)","9234, 9230A, and 9240C","Staphylococcal Enterotoxin A , B, C, D, E, (not more than 100 mg in the laboratory), No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2BSL3"
"IBC0763(0)","Tang, Wei-Jen","Gordon Center for Integrative Science (GCIS)","W423J, W423K, W423L, W440","No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Lentiviral vector Lentivirinae, Baculovirus/Animal virus, Baculovirus/Animal virus, No Data, No Data","BSL2BSL3"
"IBC0766(0)","Villereal, Mitchel","Abbott Memorial Hall (AB)","102, 102B","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0782(0)","Greenberg, Jean","BSLC Green House (GH)","Whole facility, 5th and 6th floors","Pseudomonas syringae, Xanthomonas campestris, Potato Virus, Potato Virus, E. coli K12 or similar, E. coli K12 or similar, Agrobacterium tumafaciens, Agrobacterium tumafaciens, Saccharomyces cerevisiae, Saccharomyces cerevisiae, Ralstonia solanacaerum, Ralstonia solanacaerum, Tobacco Rattle Virus, Tobacco Rattle Virus, Pseudomonas fluorescens, Pseudomonas fluorescens, Xanthomonas campestris, Pseudomonas syringae, Arabidopsis thaliana, Arabidopsis thaliana, Latuca sativa, Latuca sativa, Solanum sp. (Tomato), Solanum sp. (Tomato), Glycine max (Indigenous), Glycine max (Indigenous), Nicotiana sp., Nicotiana sp., Phaseolus vulgaris (String bean), Phaseolus vulgaris (String bean), No Data, No Data","BSL1"
"IBC0782(0)","Greenberg, Jean","Gordon Center for Integrative Science (GCIS)","519","Pseudomonas syringae, Xanthomonas campestris, Potato Virus, Potato Virus, E. coli K12 or similar, E. coli K12 or similar, Agrobacterium tumafaciens, Agrobacterium tumafaciens, Saccharomyces cerevisiae, Saccharomyces cerevisiae, Ralstonia solanacaerum, Ralstonia solanacaerum, Tobacco Rattle Virus, Tobacco Rattle Virus, Pseudomonas fluorescens, Pseudomonas fluorescens, Xanthomonas campestris, Pseudomonas syringae, Arabidopsis thaliana, Arabidopsis thaliana, Latuca sativa, Latuca sativa, Solanum sp. (Tomato), Solanum sp. (Tomato), Glycine max (Indigenous), Glycine max (Indigenous), Nicotiana sp., Nicotiana sp., Phaseolus vulgaris (String bean), Phaseolus vulgaris (String bean), No Data, No Data","BSL1"
"IBC0796(0)","Thirman, Michael","Knapp Center for Biomedical Discovery (KCBD)","7230","No Data, E. coli K12 or similar, No Data, No Data, No Data, Murine Retrovirus - Ecotropic, No Data","BSL2"
"IBC0797(0)","Dulin, Nickolai","Albert Merrit Billings Hospital (AMB)","500","Pertussis Toxin, No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, Adeno-associated virus (AAV), Adenovirus- replication deficient, No Data, No Data","BSL2"
"IBC0799(0)","Roizman, Bernard","Marjorie B. Kovler Viral Oncology Laboratories (MKL)","Rooms 117-183","No Data, Herpes simplex viruses Herpesviridae/ Alpha-herpesviridae, Saccharomyces cerevisiae, E. coli K12 or similar, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0800(0)","Beyer, Eric","Knapp Center for Biomedical Discovery (KCBD)","5160","No Data, E. coli K12 or similar, No Data","BSL2"
"IBC0821(0)","Green, William","","","Tetrodotoxin (not more than 500 mg in the laboratory), No Data, E. coli K12 or similar, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2BSL3"
"IBC0822(0)","Godley, Lucy","Knapp Center for Biomedical Discovery (KCBD)","7230, 7234, 7235","No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Murine Retrovirus - Ecotropic, Lentiviral vector Lentivirinae, Lentiviral vector Lentivirinae, Lentiviral vector Lentivirinae, Lentiviral vector Lentivirinae, Murine Retrovirus - Ecotropic, No Data, No Data, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0823(0)","Godley, Lucy","Knapp Center for Biomedical Discovery (KCBD)","7230, 7234","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data","BSL2"
"IBC0824(0)","Chang, Eugene","Knapp Center for Biomedical Discovery (KCBD)","9233","No Data, Bacteroides fragilis (EU2), E. coli-enterotoxigenic, Other, Other, Salmonella typhimurium, Other, Bacteroides spp (EU2), Other, No Data, No Data","BSL2"
"IBC0835(0)","Conzen, Suzanne","Knapp Center for Biomedical Discovery (KCBD)","8240","No Data, E. coli K12 or similar, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data, No Data","BSL2BSL3"
"IBC0839(0)","Grdina, David","","","No Data, No Data","BSL2"
"IBC0844(0)","Olopade, Olufunmilayo","Knapp Center for Biomedical Discovery (KCBD)","8240, 8251","No Data, No Data, Epstein-Barr virus (EBV) Herpesviridae/ Gamma-herpesviridae, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2BSL3"
"IBC0848(1)","Sperling, Anne","Jules F. Knapp Medical Research Center (JFK)","R301","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL2BSL3"
"IBC0864(1)","Rock, Ronald","Gordon Center for Integrative Science (GCIS)","W229","No Data, E. coli K12 or similar, Dictyostelium discoideum, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Baculovirus/Animal virus, No Data","BSL2"
"IBC0871(0)","Kee, Barbara","Jules F. Knapp Medical Research Center (JFK)","322, 330","No Data, Cytomegalovirus, Mouse, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Murine Retrovirus - Ecotropic, Lentiviral vector Lentivirinae, No Data, No Data, No Data","BSL2BSL3"
"IBC0880(1)","Missiakas, Dominique","No Data","HTRL BSL-2, BSL-3, and Vivarium","No Data, E. coli K12 or similar, Bacillus anthracis-AMES, Bacillus anthracis-STERNE, Bacteriophage, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data","BSL3"
"IBC0883(0)","Rebay, Ilaria","","","E. coli K12 or similar, No Data, No Data","BSL1"
"IBC0885(0)","Ho, Robert","Anatomy (A)","001","E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL1"
"IBC0885(0)","Ho, Robert","Culver Hall (CH)","305a-f; 307","E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL1"
"IBC0886(1)","Lengyel, Ernst","","","Diphtheria Toxin, No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Moloney Murine Leukemia Virus (MMLV)/Animal retrovirus-Amphotropic/Pantropic, Adenovirus- replication deficient, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0887(0)","Claud, Erika","Knapp Center for Biomedical Discovery (KCBD)","4230D, 1250 (added in AD01), 5220F (added in AD03)","No Data, Feces, Human, Serratia marcescens (EU2), Bifidobacterium spp, Faecalibacterium spp, Streptococcus viridans, E. coli K12 or similar, Klebsiella pneumoniae, Enterobacter aerogenes/cloacae (EU2), Lactobacillus spp, No Data","BSL2"
"IBC0894(1)","Randall, Glenn","Cummings Life Sciences Center (CLSC)","701, 721, 725, 727","No Data, No Data, Dengue virus Flaviviridae/ Flavivirus (Grp B Arbovirus), Saccharomyces cerevisiae, Hepatitis C Togaviridae/ Pestivirus (Canada), E. coli K12 or similar, Zika Virus, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Moloney Murine Leukemia Virus (MMLV)/Animal retrovirus-Amphotropic/Pantropic, No Data, No Data","BSL2BSL3"
"IBC0898(1)","Glotzer, Michael","","","No Data, Saccharomyces cerevisiae, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Baculovirus/Animal virus","BSL2"
"IBC0901(0)","Golovkina, Tatyana","Cummings Life Sciences Center (CLSC)","715","No Data, No Data, E. coli K12 or similar, Bacteroides spp (EU2), Bacteroides spp (EU2), Parabacteroides spp., Other, Murine Leukemia Virus, Murine Leukemia Virus, Other, Other, Other, Saccharomyces cerevisiae, Saccharomyces cerevisiae, Lymphocytic Choriomeningitis Virus (LCMV) Arenaviruses, E. coli K12 or similar, Lymphocytic Choriomeningitis Virus (LCMV) Arenaviruses, Parabacteroides spp., No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Lentiviral vector Lentivirinae, Adeno-associated virus (AAV), Adeno-associated virus (AAV), No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0902(1)","Keenan, Robert","Gordon Center for Integrative Science (GCIS)","W229V","No Data, Saccharomyces cerevisiae, E. coli K12 or similar, No Data, No Data","BSL2"
"IBC0915(0)","Perozo, Eduardo","Gordon Center for Integrative Science (GCIS)","W201E, W214","Tetrodotoxin (not more than 500 mg in the laboratory), No Data, Pichia pastoris, Saccharomyces cerevisiae, E. coli K12 or similar, No Data, No Data, No Data, Baculovirus/Animal virus, No Data","BSL2"
"IBC0921(0)","Yamini, Bakhtiar","Knapp Center for Biomedical Discovery (KCBD)","6212, 6220E, 6220F","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0924(0)","Chong, Anita","","","Staphylococcus aureus, Listeria monocytogenes","BSL2"
"IBC0929(0)","Crosson, Sean","","","E. coli K12 or similar, Caulobacter crescentus, No Data","BSL1"
"IBC0934(0)","Nobrega, Marcelo","Cummings Life Sciences Center (CLSC)","301, 313, 321, 515, 523","No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Lentiviral vector Lentivirinae, No Data, No Data","BSL2BSL3"
"IBC0936(0)","Adams, Erin","Gordon Center for Integrative Science (GCIS)","W202, W229","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, Baculovirus/Animal virus, No Data","BSL2"
"IBC0943(0)","Weichselbaum, Ralph","Knapp Center for Biomedical Discovery (KCBD)","6160, 6211, 6212, 6220","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, Moloney Murine Leukemia Virus (MMLV)/Animal retrovirus-ecotropic, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, No Data, No Data","BSL2BSL3"
"IBC0949(0)","Gomez, Christopher","Surgery Brain Research Institute (SBRI)","J-219","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Adeno-associated virus (AAV), Lentiviral vector Lentivirinae","BSL2BSL3"
"IBC0951(0)","He, Chuan","Gordon Center for Integrative Science (GCIS)","1015-GCIS E307, 309, 311, 313, 329, 331, 333, 335; 951-Also GCIS E504","No Data, No Data, E. coli K12 or similar, Staphylococcus aureus, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Murine Retrovirus - Ecotropic, Baculovirus/Animal virus, Lentiviral vector Lentivirinae, No Data, No Data","BSL2BSL3"
"IBC0967(0)","Fehon, Richard","Cummings Life Sciences Center (CLSC)","901, 911, 913","E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL1"
"IBC0974(0)","Reid, Russell","Surgery Brain Research Institute (SBRI)","611, 616, and 620","No Data, E. coli K12 or similar, No Data, No Data, No Data, Adenovirus- replication deficient, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, No Data, No Data","BSL2"
"IBC0978(0)","Kovar, David","Cummings Life Sciences Center (CLSC)","214, 214C,203","Other, E. coli K12 or similar, No Data, No Data","BSL1"
"IBC0994(0)","Cunningham, John","Knapp Center for Biomedical Discovery (KCBD)","5212, 5230, 5240E","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, Murine Retrovirus - Amphotropic/Pantropic, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL2BSL3"
"IBC0998(1)","Cohn, Susan","Knapp Center for Biomedical Discovery (KCBD)","5240, 5240B/C/E, 5250","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL2BSL3"
